,Unnamed: 0,English,German_Singular,German_Plural,IPA
72,72,Look,Der Blick,Die Blicke,dɛːr bliːk
73,73,Leg,Das Bein,Die Beine,daːs baɪ̯n
74,74,Chair,Der Stuhl,Die Stühle,dɛːr stuːhl
75,75,Office,Das Büro,Die Büros,daːs byːroː
76,76,Brother,Der Bruder,Die Brüder,dɛːr bruːdɐ
77,77,Question,Die Frage,Die Fragen,diː fraːɡə
78,78,City,Die Stadt,Die Städte,diː staːt
79,79,Month,Der Monat,Die Monate,dɛːr moːnaːt
80,80,Baby,Das Baby,Die Babys,daːs baːbyː
81,81,Home,Das Zuhause,Die Zuhause,daːs t͡suːaʊ̯zə
82,82,Dog,Der Hund,Die Hunde,dɛːr hʊnt
83,83,Road,Die Straße,Die Straßen,diː straːsə
84,84,Idea,Die Idee,Die Ideen,diː iːdeː
85,85,Kitchen,Die Küche,Die Küchen,diː kʏçə
86,86,Lot,Das Grundstück,Die Grundstücke,daːs ɡrʊndstyːk
87,87,Son,Der Sohn,Die Söhne,dɛːr zoːn
88,88,Job,Der Job,Die Jobs,dɛːr joːp
89,89,Paper,Das Papier,Die Papiere,daːs paːpiːɐ̯
90,90,Sister,Die Schwester,Die Schwestern,diː ʃvɛstɐ
91,91,Smile,Das Lächeln,Die Lächeln,daːs lɛçɛln
92,92,Point,Der Punkt,Die Punkte,dɛːr pʊŋkt
93,93,Thought,Der Gedanke,Die Gedanken,dɛːr ɡɛːdaŋkə
94,94,Love,Die Liebe,-,diː liːbə
95,95,Town,Die Stadt,Die Städte,diː staːt
96,96,Death,Der Tod,Die Tode,dɛːr toːt
97,97,Ground,Der Boden,Die Böden,dɛːr bodn̩
98,98,Others,Die Anderen,-,diː andɛːrən
99,99,Fire,Das Feuer,Die Feuer,daːs fɔɪ̯ɐ
100,100,Step,Der Schritt,Die Schritte,dɛːr ʃrɪt
101,101,Blood,Das Blut,-,daːs blʊt
102,102,Fact,Die Tatsache,Die Tatsachen,diː tatzaxə
103,103,Breath,Der Atem,Die Atemzüge,dɛːr atm̩
104,104,Lip,Die Lippe,Die Lippen,diː lɪpə
105,105,Sun,Die Sonne,Die Sonnen,diː zɔnə
106,106,Building,Das Gebäude,Die Gebäude,daːs ɡɛːbɔɪ̯də
107,107,Number,Die Nummer,Die Nummern,diː nʊmɐ
108,108,Husband,Der Ehemann,Die Ehemänner,dɛːr eːɛːman
109,109,Parent,Der Elternteil,Die Elternteile,dɛːr ɛltɛːrntaɪ̯l
110,110,Corner,Die Ecke,Die Ecken,diː ɛːkə
111,111,Problem,Das Problem,Die Probleme,daːs prɔblm̩
112,112,Couple,Das Paar,Die Paare,daːs paː
113,113,Daughter,Die Tochter,Die Töchter,diː tɔxtɐ
114,114,Bag,Die Tasche,Die Taschen,diː taʃə
115,115,Hell,Die Hölle,-,diː hœlə
116,116,Rest,Die Ruhe,-,diː ruːə
117,117,Business,Das Geschäft,Die Geschäfte,daːs ɡɛʃɛft
118,118,Sky,Der Himmel,Die Himmel,dɛːr hɪml̩
119,119,Box,Die Schachtel,Die Schachteln,diː ʃaxtl̩
120,120,Person,Die Person,Die Personen,diː pɛːrzoːn
121,121,Reason,Der Grund,Die Gründe,dɛːr ɡrʊnt
122,122,Right,Das Recht,-,daːs rɛçt
123,123,Skin,Die Haut,Die Häute,diː haʊ̯t
124,124,Dad,Der Vater,Die Väter,dɛːr faːtɐ
125,125,Case,Der Fall,Die Fälle,dɛːr fal
126,126,Piece,Das Stück,Die Stücke,daːs styːk
127,127,Doctor,Der Arzt,Die Ärzte,dɛːr aːrt͡st
128,128,Edge,Der Rand,Die Ränder,dɛːr rant
129,129,Mom,Die Mutter,Die Mütter,diː mʊtɐ
130,130,Picture,Das Bild,Die Bilder,daːs bɪlt
131,131,Sense,Der Sinn,Die Sinne,dɛːr zɪn
132,132,Ear,Das Ohr,Die Ohren,daːs oːɐ̯
133,133,Second,Die Sekunde,Die Sekunden,diː zɛːkʊndə
134,134,Lady,Die Dame,Die Damen,diː daːmə
135,135,Neck,Der Hals,Die Hälse,dɛːr hals
136,136,Wind,Der Wind,Die Winde,dɛːr vɪnt
137,137,Desk,Der Schreibtisch,Die Schreibtische,dɛːr ʃraɪ̯btɪʃ
138,138,Gun,Die Waffe,Die Waffen,diː vafə
139,139,Stone,Der Stein,Die Steine,dɛːr staɪ̯n
140,140,Coffee,Der Kaffee,Die Kaffees,dɛːr kafeː
141,141,Ship,Das Schiff,Die Schiffe,daːs ʃɪf
142,142,Earth,Die Erde,-,diː ɛːrdə
143,143,Food,Das Essen,-,daːs ɛzɛːn
144,144,Horse,Das Pferd,Die Pferde,daːs p͡fɛːɐ̯t
145,145,Field,Das Feld,Die Felder,daːs fɛlt
146,146,War,Der Krieg,Die Kriege,dɛːr kriːk
147,147,Afternoon,Der Nachmittag,Die Nachmittage,dɛːr naxmɪtaːk
148,148,Sir,Der Herr,Die Herren,dɛːr hɛr
149,149,Space,Der Raum,Die Räume,dɛːr raʊ̯m
150,150,Evening,Der Abend,Die Abende,dɛːr abn̩t
151,151,Letter,Der Brief,Die Briefe,dɛːr briːf
152,152,Bar,Die Bar,Die Bars,diː baː
153,153,Dream,Der Traum,Die Träume,dɛːr traʊ̯m
154,154,Apartment,Die Wohnung,Die Wohnungen,diː voːnʊŋk
155,155,Chest,Die Brust,Die Brüste,diː brʊst
156,156,Game,Das Spiel,Die Spiele,daːs spiːl
157,157,Summer,Der Sommer,Die Sommer,dɛːr zɔmɐ
158,158,Matter,Die Angelegenheit,Die Angelegenheiten,diː aŋɛːlɛːɡɛːnhaɪ̯t
159,159,Silence,Die Stille,-,diː stɪlə
160,160,Top,Die Spitze,Die Spitzen,diː spiːt͡sə
161,161,Rock,Der Felsen,Die Felsen,dɛːr fɛlzɛːn
162,162,Power,Die Macht,-,diː maxt
163,163,Clothes,Die Kleidung,-,diː klaɪ̯dʊŋk
164,164,Sign,Das Schild,Die Schilder,daːs ʃɪlt
165,165,Attention,Die Aufmerksamkeit,-,diː aʊ̯fmɛːrkzamkaɪ̯t
166,166,Music,Die Musik,-,diː muːziːk
167,167,State,Der Zustand,Die Zustände,dɛːr t͡sʊstant
168,168,Pocket,Die Tasche,Die Taschen,diː taʃə
169,169,Dinner,Das Abendessen,Die Abendessen,daːs aːbɛndɛzɛːn
170,170,Hall,Der Saal,Die Säle,dɛːr zaːl
171,171,Pain,Der Schmerz,Die Schmerzen,dɛːr ʃmɛːrs
172,172,Age,Das Alter,-,daːs altɐ
173,173,River,Der Fluss,Die Flüsse,dɛːr flʊs
174,174,Chance,Die Chance,Die Chancen,diː xaːŋkə
175,175,Nose,Die Nase,Die Nasen,diː naːzə
176,176,Shadow,Der Schatten,Die Schatten,dɛːr ʃatn̩
177,177,Police,Die Polizei,-,diː poːliːt͡saɪ̯
178,178,Memory,Die Erinnerung,Die Erinnerungen,diː ɛːrɪnɛːrʊŋk
179,179,Color,Die Farbe,Die Farben,diː faːrbə
180,180,Knee,Das Knie,Die Knie,daːs kniː
181,181,Wood,Das Holz,-,daːs hoːls
182,182,Shirt,Das Hemd,Die Hemden,daːs hɛmt
183,183,Party,Die Party,Die Partys,diː paːrtyː
184,184,Country,Das Land,Die Länder,daːs lant
185,185,Truck,Der Lastwagen,Die Lastwagen,dɛːr lastvaɡn̩
186,186,Tooth,Der Zahn,Die Zähne,dɛːr t͡saːn
187,187,Bill,Die Rechnung,Die Rechnungen,diː rɛçnʊŋk
188,188,Scene,Die Szene,Die Szenen,diː st͡sɛːnə
189,189,Land,Das Land,Die Länder,daːs lant
190,190,Star,Der Stern,Die Sterne,dɛːr stɛːɐ̯n
191,191,Bird,Der Vogel,Die Vögel,dɛːr foɡl̩
192,192,Bedroom,Das Schlafzimmer,Die Schlafzimmer,daːs ʃlaːft͡sɪmɐ
193,193,Uncle,Der Onkel,Die Onkel,dɛːr ɔŋkl̩
194,194,Sort,Die Art,-,diː aːɐ̯t
195,195,Group,Die Gruppe,Die Gruppen,diː ɡrʊpə
196,196,Truth,Die Wahrheit,Die Wahrheiten,diː vaːrhaɪ̯t
197,197,Trouble,Die Schwierigkeit,-,diː ʃviːrɪɡkaɪ̯t
198,198,Crowd,Die Menschenmenge,Die Menschenmengen,diː mɛnʃɛnmɛŋə
199,199,Station,Der Bahnhof,Die Bahnhöfe,dɛːr baːnhoːf
200,200,Tear,Die Träne,Die Tränen,diː trɛːnə
201,201,Class,Die Klasse,Die Klassen,diː klazə
202,202,Sea,Das Meer,Die Meere,daːs meːɐ̯
203,203,Animal,Das Tier,Die Tiere,daːs tiːɐ̯
204,204,Center,Das Zentrum,Die Zentren,daːs t͡sɛntrʊm
205,205,Feeling,Das Gefühl,Die Gefühle,daːs ɡɛːfyːl
206,206,Store,Das Geschäft,Die Geschäfte,daːs ɡɛʃɛft
207,207,Mountain,Der Berg,Die Berge,dɛːr bɛːɐ̯k
208,208,News,Die Nachrichten,-,diː naxrɪçtn̩
209,209,Shoe,Der Schuh,Die Schuhe,dɛːr ʃuːh
210,210,Cat,Die Katze,Die Katzen,diː kaːt͡sə
211,211,Screen,Der Bildschirm,Die Bildschirme,dɛːr bɪld͡ʒiːɐ̯m
212,212,Bottle,Die Flasche,Die Flaschen,diː flaʃə
213,213,Call,Der Anruf,Die Anrufe,dɛːr aːnrʊf
214,214,Living,Das Wohnzimmer,Die Wohnzimmer,daːs voːnt͡sɪmɐ
215,215,Cheek,Die Wange,Die Wangen,diː vaŋə
216,216,Student,Der Student,Die Studenten,dɛːr stuːdɛnt
217,217,Ball,Der Ball,Die Bälle,dɛːr bal
218,218,Sight,Der Anblick,Die Anblicke,dɛːr anbliːk
219,219,Hill,Der Hügel,Die Hügel,dɛːr hyɡl̩
220,220,Company,Das Unternehmen,Die Unternehmen,daːs ʊntɛːrnemn̩
221,221,Church,Die Kirche,Die Kirchen,diː kiːrxə
222,222,Rain,Der Regen,Die Regen,dɛːr rɛɡn̩
223,223,Suit,Der Anzug,Die Anzüge,dɛːr aːnt͡sʊk
224,224,One,Die Eins,-,diː aɪ̯ns
225,225,Direction,Die Richtung,Die Richtungen,diː rɪçtʊŋk
226,226,Will,Der Wille,-,dɛːr vɪlə
227,227,Throat,Der Hals,Die Hälse,dɛːr hals
228,228,Middle,Die Mitte,-,diː mɪtə
229,229,Answer,Die Antwort,Die Antworten,diː antvoːɐ̯t
230,230,Stuff,Das Zeug,-,daːs t͡sɔɪ̯k
231,231,Hospital,Das Krankenhaus,Die Krankenhäuser,daːs kraŋkɛːnhaʊ̯s
232,232,Camera,Die Kamera,Die Kameras,diː kaːmɛːraː
233,233,Dress,Das Kleid,Die Kleider,daːs klaɪ̯t
234,234,Card,Die Karte,Die Karten,diː kaːrtə
235,235,Yard,Der Hof,Die Höfe,dɛːr hoːf
236,236,Dark,Die Dunkelheit,-,diː dʊŋkɛːlhaɪ̯t
237,237,Shit,Die Scheiße,-,diː ʃaɪ̯sə
238,238,Image,Das Bild,Die Bilder,daːs bɪlt
239,239,Machine,Die Maschine,Die Maschinen,diː maʃiːnə
240,240,Distance,Die Entfernung,Die Entfernungen,diː ɛntfɛːrnʊŋk
241,241,Area,Das Gebiet,Die Gebiete,daːs ɡɛːbiːt
242,242,Narrator,Der Erzähler,Die Erzähler,dɛːr ɛːrt͡sɛːhlɐ
243,243,Ice,Das Eis,Die Eis,daːs aɪ̯s
244,244,Snow,Der Schnee,-,dɛːr ʃneː
245,245,Note,Die Notiz,Die Notizen,diː noːtiːs
246,246,Mirror,Der Spiegel,Die Spiegel,dɛːr spiɡl̩
247,247,King,Der König,Die Könige,dɛːr køːnɪç
248,248,Fear,Die Angst,-,diː aŋst
249,249,Officer,Der Beamte,Die Beamten,dɛːr bɛːamtə
250,250,Hole,Das Loch,Die Löcher,daːs lɔx
251,251,Shot,Der Schuss,Die Schüsse,dɛːr ʃʊs
252,252,Guard,Der Wächter,Die Wächter,dɛːr vɛçtɐ
253,253,Conversation,Das Gespräch,Die Gespräche,daːs ɡɛsprɛç
254,254,Boat,Das Boot,Die Boote,daːs boːt
255,255,System,Das System,Die Systeme,daːs zʏstm̩
256,256,Care,Die Sorge,Die Sorgen,diː zoːrɡə
257,257,Bit,Das Bit,Die Bits,daːs biːt
258,258,Movie,Der Film,Die Filme,dɛːr fɪlm
259,259,Bone,Der Knochen,Die Knochen,dɛːr knɔxn̩
260,260,Page,Die Seite,Die Seiten,diː zaɪ̯tə
261,261,Captain,Der Kapitän,Die Kapitäne,dɛːr kaːpiːtɛn
262,262,Aunt,Die Tante,Die Tanten,diː tantə
263,263,Darkness,Die Dunkelheit,-,diː dʊŋkɛːlhaɪ̯t
264,264,Control,Die Kontrolle,Die Kontrollen,diː kɔntrɔlə
265,265,Drink,Das Getränk,Die Getränke,daːs ɡɛːtrɛŋk
266,266,Hotel,Das Hotel,Die Hotels,daːs hotl̩
267,267,Coat,Der Mantel,Die Mäntel,dɛːr mantl̩
268,268,Stair,Die Treppe,Die Treppen,diː trɛpə
269,269,Order,Die Bestellung,Die Bestellungen,diː bɛstɛlʊŋk
270,270,Rose,Die Rose,Die Rosen,diː roːzə
271,271,Miss,Die Miss,-,diː mɪs
272,272,Hat,Der Hut,Die Hüte,dɛːr hʊt
273,273,Gold,Das Gold,-,daːs ɡɔlt
274,274,Cigarette,Die Zigarette,Die Zigaretten,diː t͡siːɡaːrɛtə
275,275,Cloud,Die Wolke,Die Wolken,diː vɔlkə
276,276,View,Die Aussicht,Die Aussichten,diː aʊ̯zɪçt
277,277,Driver,Der Fahrer,Die Fahrer,dɛːr faːrɐ
278,278,Cup,Die Tasse,Die Tassen,diː tazə
279,279,Figure,Die Figur,Die Figuren,diː fiːɡr
280,280,Expression,Der Ausdruck,Die Ausdrücke,dɛːr aʊ̯sdrʊk
281,281,Path,Der Weg,Die Wege,dɛːr vɛːk
282,282,Key,Der Schlüssel,Die Schlüssel,dɛːr ʃlʏzɛːl
283,283,Computer,Der Computer,Die Computer,dɛːr kɔmpuːtɐ
284,284,Flower,Die Blume,Die Blumen,diː bluːmə
285,285,Ring,Der Ring,Die Ringe,dɛːr rɪŋk
286,286,Bathroom,Das Badezimmer,Die Badezimmer,daːs baːdɛːt͡sɪmɐ
287,287,Metal,Das Metall,Die Metalle,daːs mɛːtal
288,288,Moon,Der Mond,Die Monde,dɛːr mɔnt
289,289,Song,Das Lied,Die Lieder,daːs liːt
290,290,Soldier,Der Soldat,Die Soldaten,dɛːr zɔldaːt
291,291,Radio,Das Radio,Die Radios,daːs raːdiːoː
292,292,History,Die Geschichte,Die Geschichten,diː ɡɛʃɪçtə
293,293,Wave,Die Welle,Die Wellen,diː vɛlə
294,294,Plan,Der Plan,Die Pläne,dɛːr plaːn
295,295,College,Das College,Die Colleges,daːs kɔlɛːɡə
296,296,Fish,Der Fisch,Die Fische,dɛːr fɪʃ
297,297,Garden,Der Garten,Die Gärten,dɛːr ɡaːrtən
298,298,Train,Der Zug,Die Züge,dɛːr t͡sʊk
299,299,Shop,Das Geschäft,Die Geschäfte,daːs ɡɛʃɛft
300,300,Cop,Der Polizist,Die Polizisten,dɛːr poːliːt͡sɪst
301,301,Art,Die Kunst,-,diː kʊnst
302,302,Beer,Das Bier,Die Biere,daːs biːɐ̯
303,303,North,Der Norden,-,dɛːr noːrdən
304,304,Island,Die Insel,Die Inseln,diː ɪnzɛːl
305,305,Bus,Der Bus,Die Busse,dɛːr bʊs
306,306,Smell,Der Geruch,Die Gerüche,dɛːr ɡɛːrʊx
307,307,Noise,Das Geräusch,Die Geräusche,daːs ɡɛːrɔɪ̯ʃ
308,308,Mama,Mama,-,maːmaː
309,309,Park,Der Park,Die Parks,dɛːr paːɐ̯k
310,310,South,Der Süden,-,dɛːr zydn̩
311,311,Pair,Das Paar,Die Paare,daːs paː
312,312,Lord,Der Herr,Die Herren,dɛːr hɛr
313,313,Plate,Der Teller,Die Teller,dɛːr tɛlɐ
314,314,Jacket,Die Jacke,Die Jacken,diː jaːkə
315,315,Help,Die Hilfe,Die Hilfen,diː hɪlfə
316,316,Daddy,Der Papa,Die Papas,dɛːr paːpaː
317,317,Grass,Das Gras,Die Gräser,daːs ɡraːs
318,318,Thanks,Der Dank,Die Danksagungen,dɛːr daŋk
319,319,Heat,Die Hitze,-,diː hiːt͡sə
320,320,Sleep,Der Schlaf,-,dɛːr ʃlaːf
321,321,Brain,Das Gehirn,Die Gehirne,daːs ɡeːiːɐ̯n
322,322,Service,Der Service,Die Services,dɛːr zɛːrfiːkə
323,323,Trip,Die Reise,Die Reisen,diː raɪ̯zə
324,324,Beat,Der Schlag,Die Schläge,dɛːr ʃlaːk
325,325,Knife,Das Messer,Die Messer,daːs mɛsɐ
326,326,Spot,Der Fleck,Die Flecken,dɛːr flɛːk
327,327,Message,Die Nachricht,Die Nachrichten,diː naxrɪçt
328,328,Mark,Das Zeichen,Die Zeichen,daːs t͡saɪ̯çn̩
329,329,Teacher,Der Lehrer,Die Lehrer,dɛːr leːrɐ
330,330,Gaze,Der Blick,Die Blicke,dɛːr bliːk
331,331,Village,Das Dorf,Die Dörfer,daːs doːɐ̯f
332,332,Winter,Der Winter,Die Winter,dɛːr vɪntɐ
333,333,Front,Die Front,Die Fronten,diː frɔnt
334,334,Law,Das Gesetz,Die Gesetze,daːs ɡɛːzɛːt͡s
335,335,Surface,Die Oberfläche,Die Oberflächen,diː oːbɛːrflɛçə
336,336,Bank,Die Bank,Die Banken,diː baŋk
337,337,Team,Das Team,Die Teams,daːs tɛːaːm
338,338,Maximum,Das Maximum,Die Maxima,daːs maksiːmʊm
339,339,Position,Die Position,Die Positionen,diː poːziːtiːoːn
340,340,Stomach,Der Magen,Die Mägen,dɛːr maɡn̩
341,341,Turn,Die Wende,-,diː vɛndə
342,342,West,Der Westen,-,dɛːr vɛstn̩
343,343,Lunch,Das Mittagessen,Die Mittagessen,daːs mɪtaːɡɛzɛːn
344,344,Change,Die Veränderung,Die Veränderungen,diː fɛːrɛndɛːrʊŋk
345,345,Creature,Das Lebewesen,Die Lebewesen,daːs lɛbjuːɛːzɛːn
346,346,Soul,Die Seele,Die Seelen,diː zeːlə
347,347,Leaf,Das Blatt,Die Blätter,daːs blat
348,348,Show,Die Show,Die Shows,diː shoː
349,349,Gate,Das Tor,Die Tore,daːs toːɐ̯
350,350,Palm,Die Palme,Die Palmen,diː palmə
351,351,Plastic,Das Plastik,-,daːs plastiːk
352,352,Force,Die Kraft,Die Kräfte,diː kraft
353,353,Beach,Der Strand,Die Strände,dɛːr strant
354,354,President,Der Präsident,Die Präsidenten,dɛːr prɛːziːdɛnt
355,355,Shape,Die Form,Die Formen,diː foːɐ̯m
356,356,Smoke,Der Rauch,Die Rauch,dɛːr raʊ̯x
357,357,Wheel,Das Rad,Die Räder,daːs raːt
358,358,Silver,Das Silber,-,daːs zɪlbɐ
359,359,Roof,Das Dach,Die Dächer,daːs dax
360,360,Weight,Das Gewicht,Die Gewichte,daːs ɡjuːɪçt
361,361,Tongue,Die Zunge,Die Zungen,diː t͡sʊŋə
362,362,Tea,Der Tee,Die Tees,dɛːr teː
363,363,Track,Die Strecke,Die Strecken,diː strɛːkə
364,364,Angle,Der Winkel,Die Winkel,dɛːr vɪŋkl̩
365,365,Form,Die Form,Die Formen,diː foːɐ̯m
366,366,Tone,Der Ton,Die Töne,dɛːr toːn
367,367,Circle,Der Kreis,Die Kreise,dɛːr kraɪ̯s
368,368,Spring,Der Frühling,Die Frühlinge,dɛːr fryːlɪŋk
369,369,Porch,Die Veranda,Die Veranden,diː fɛːrandaː
370,370,Sheet,Das Blatt,Die Blätter,daːs blat
371,371,Member,Das Mitglied,Die Mitglieder,daːs mɪtɡliːt
372,372,Pool,Der Pool,Die Pools,dɛːr poːl
373,373,Need,Das Bedürfnis,Die Bedürfnisse,daːs bɛːdyːrfniːs
374,374,Hope,Die Hoffnung,Die Hoffnungen,diː hɔfnʊŋk
375,375,Lake,Der See,Die Seen,dɛːr zeː
376,376,Breast,Die Brust,Die Brüste,diː brʊst
377,377,Surprise,Die Überraschung,Die Überraschungen,diː yːbɛraʃʊŋk
378,378,Interest,Das Interesse,-,daːs ɪntɛːrɛzə
379,379,Bottom,Der Boden,Die Böden,dɛːr bodn̩
380,380,Spirit,Der Geist,Die Geister,dɛːr ɡaɪ̯st
381,381,Block,Der Block,Die Blöcke,dɛːr bloːk
382,382,Language,Die Sprache,Die Sprachen,diː spraxə
383,383,Bridge,Die Brücke,Die Brücken,diː bryːkə
384,384,Dust,Der Staub,-,dɛːr staʊ̯p
385,385,Cell,Die Zelle,Die Zellen,diː t͡sɛlə
386,386,Wine,Der Wein,Die Weine,dɛːr vaɪ̯n
387,387,Boot,Der Stiefel,Die Stiefel,dɛːr stiːfɛːl
388,388,Choice,Die Wahl,Die Wahlen,diː vaːl
389,389,Row,Die Reihe,Die Reihen,diː raɪ̯ə
390,390,Talk,Das Gespräch,Die Gespräche,daːs ɡɛsprɛç
391,391,Plane,Das Flugzeug,Die Flugzeuge,daːs fluːɡt͡sɔɪ̯k
392,392,Watch,Die Uhr,Die Uhren,diː uːhr
393,393,Information,Die Information,Die Informationen,diː ɪnfoːrmaːtiːoːn
394,394,Grandmother,Die Großmutter,-,diː ɡroːsmʊtɐ
395,395,Wing,Der Flügel,Die Flügel,dɛːr flyɡl̩
396,396,Bob,Der Bob,Die Bobs,dɛːr boːp
397,397,Club,Der Club,Die Clubs,dɛːr klʊp
398,398,Master,Der Meister,Die Meister,dɛːr maɪ̯stɐ
399,399,Grace,Die Gnade,Die Gnaden,diː njaːdə
400,400,Forest,Der Wald,Die Wälder,dɛːr valt
401,401,Size,Die Größe,Die Größen,diː ɡrøːsə
402,402,Set,Der Satz,Die Sätze,dɛːr zaːt͡s
403,403,Marriage,Die Ehe,Die Ehen,diː eːə
404,404,Forehead,Die Stirn,Die Stirnen,diː stiːɐ̯n
405,405,Storm,Der Sturm,Die Stürme,dɛːr stuːɐ̯m
406,406,Doorway,Der Durchgang,Die Durchgänge,dɛːr duːrxɡaŋk
407,407,Situation,Die Situation,Die Situationen,diː ziːtuːaːtiːoːn
408,408,Counter,Die Theke,Die Theken,diː tɛːkə
409,409,Neighbor,Der Nachbar,Die Nachbarn,dɛːr naxbaː
410,410,Photo,Das Foto,Die Fotos,daːs foːtoː
411,411,Stage,Die Bühne,Die Bühnen,diː byːnə
412,412,Meeting,Das Treffen,Die Treffen,daːs trɛfɛːn
413,413,Nurse,Die Krankenschwester,Die Krankenschwestern,diː kraŋkɛnʃvɛstɐ
414,414,Security,Die Sicherheit,Die Sicherheiten,diː zɪçɛːrhaɪ̯t
415,415,Weapon,Die Waffe,Die Waffen,diː vafə
416,416,Event,Das Ereignis,Die Ereignisse,daːs ɛːraɪ̯njiːs
417,417,Ceiling,Die Decke,Die Decken,diː dɛːkə
418,418,Engine,Der Motor,Die Motoren,dɛːr moːtoːɐ̯
419,419,Gift,Das Geschenk,Die Geschenke,daːs ɡɛʃɛŋk
420,420,Restaurant,Das Restaurant,Die Restaurants,daːs rɛstaʊ̯rant
421,421,Board,Das Brett,Die Bretter,daːs brɛt
422,422,Hallway,Der Flur,Die Flure,dɛːr fluːɐ̯
423,423,Army,Die Armee,-,diː aːrmeː
424,424,Effort,Der Aufwand,Die Aufwände,dɛːr aʊ̯fvant
